MPID_不明: Outrealmer
MPID_モズ: Omozu
MPID_ダニエラ: Daniela
MPID_ハイタカ: Haitaka
MPID_クマゲラ: Kumagera
MPID_ウィリアム: Lloyd
MPID_ホルモン: Llewelyn
MPID_ガザック: Gazak
MPID_バンバ: Tarba
MPID_ファンク: Funke
MPID_ダイチ: Daichi
MPID_セノウ: Senno
MPID_ヴァスハラ: Zhara
MPID_クーリア: Kilma
MPID_写し身: Replica
MPID_CASTLE_白村人男: Shopkeep
MPID_CASTLE_白村人女: Shopkeep
MPID_CASTLE_黒村人男: Shopkeep
MPID_CASTLE_黒村人女: Shopkeep
MPID_その他: Other
MPID_白夜兵: Hoshidan
MPID_暗夜兵: Nohrian
MPID_透魔兵: Vallite
MPID_フウマ兵: Mokushujin
MPID_イズモ兵: Izumite
MPID_シュヴァリエ兵: Chevois
MPID_反乱兵: Resistance
MPID_幻影兵: Illusion
MPID_部族兵: Tribalist
MPID_異邦の兵: Foreigner
MPID_謎の兵: Invader
MPID_賊: Ruffian
MPID_村人: Villager
MPID_魔物: Monster
MPID_傭兵団: Mercenary
MPID_花売り: Flower Girl
MPID_絆_白白_01: Gin
MPID_絆_白白_02: Azuki
MPID_絆_白白_03: Hakuto
MPID_絆_白白_04: Kureha
MPID_絆_白白_05: Sango
MPID_絆_白白_06: Himawari
MPID_絆_白白_07: Kogane
MPID_絆_白白_08: Ai
MPID_絆_白白_09: Tetsu
MPID_絆_白白_10: Tokiwa
MPID_絆_白白_11: Suzaku
MPID_絆_白白_12: Chigusa
MPID_絆_白白_13: Renga
MPID_絆_白白_14: Moegi
MPID_絆_白白_15: Kohaku
MPID_絆_白白_16: Murasaki
MPID_絆_白白_17: Momotaro
MPID_絆_白白_18: Sumire
MPID_絆_黒黒_01: Rusty
MPID_絆_黒黒_02: Amber
MPID_絆_黒黒_03: Auburn
MPID_絆_黒黒_04: Coral
MPID_絆_黒黒_05: Hunter
MPID_絆_黒黒_06: Hazel
MPID_絆_黒黒_07: Cyan
MPID_絆_黒黒_08: Fuchsia
MPID_絆_黒黒_09: Jett
MPID_絆_黒黒_10: Olive
MPID_絆_黒黒_11: Slate
MPID_絆_黒黒_12: Violet
MPID_絆_黒黒_13: Sterling
MPID_絆_黒黒_14: Ruby
MPID_絆_黒黒_15: Tanner
MPID_絆_黒黒_16: Kelly
MPID_絆_黒黒_17: Teale
MPID_絆_黒黒_18: Magenta
MPID_絆_白黒_01: Naoki
MPID_絆_白黒_02: Shizuku
MPID_絆_白黒_03: Kaito
MPID_絆_白黒_04: Wakaba
MPID_絆_白黒_05: Yukio
MPID_絆_白黒_06: Ibuki
MPID_絆_白黒_07: Riku
MPID_絆_白黒_08: Hibari
MPID_絆_白黒_09: Minato
MPID_絆_白黒_10: Aspen
MPID_絆_白黒_11: Cypress
MPID_絆_白黒_12: Daisy
MPID_絆_白黒_13: Thorn
MPID_絆_白黒_14: Primrose
MPID_絆_白黒_15: Quill
MPID_絆_白黒_16: Willow
MPID_絆_白黒_17: Flint
MPID_絆_白黒_18: Sequoia
MPID_絆_白透_01: Shoga
MPID_絆_白透_02: Anzu
MPID_絆_白透_03: Inaho
MPID_絆_白透_04: Yuzu
MPID_絆_白透_05: Mugi
MPID_絆_白透_06: Umeko
MPID_絆_白透_07: Nori
MPID_絆_白透_08: Kurumi
MPID_絆_白透_09: Naruto
MPID_絆_白透_10: Ringo
MPID_絆_白透_11: Shoya
MPID_絆_白透_12: Kiku
MPID_絆_白透_13: Katsuo
MPID_絆_白透_14: Ayu
MPID_絆_白透_15: Takeshi
MPID_絆_白透_16: Mizuna
MPID_絆_白透_17: Koumei
MPID_絆_白透_18: Shiori
MPID_絆_黒透_01: Sorrel
MPID_絆_黒透_02: Rosemary
MPID_絆_黒透_03: Bay
MPID_絆_黒透_04: Anise
MPID_絆_黒透_05: Saffron
MPID_絆_黒透_06: Pepper
MPID_絆_黒透_07: Basil
MPID_絆_黒透_08: Ginger
MPID_絆_黒透_09: Clove
MPID_絆_黒透_10: Mint
MPID_絆_黒透_11: Caraway
MPID_絆_黒透_12: Thyme
MPID_絆_黒透_13: Sage
MPID_絆_黒透_14: Cassia
MPID_絆_黒透_15: Dillan
MPID_絆_黒透_16: Lavender
MPID_絆_黒透_17: Fenn
MPID_絆_黒透_18: Perilla
MPID_絆_透透_01: Dimitri
MPID_絆_透透_02: Alexa
MPID_絆_透透_03: Galen
MPID_絆_透透_04: Althaea
MPID_絆_透透_05: Damien
MPID_絆_透透_06: Jacynth
MPID_絆_透透_07: Orion
MPID_絆_透透_08: Sophia
MPID_絆_透透_09: George
MPID_絆_透透_10: Eva
MPID_絆_透透_11: Theo
MPID_絆_透透_12: Helene
MPID_絆_透透_13: Spiro
MPID_絆_透透_14: Odele
MPID_絆_透透_15: Peter
MPID_絆_透透_16: Rhoda
MPID_絆_透透_17: Lukas
MPID_絆_透透_18: Charis
MPID_リリス: Lilith
MPID_リリス竜: Lilith
MPID_ゴーレムＡ: Golem A
MPID_ゴーレムＢ: Golem B
MPID_ゴーレムＣ: Golem C
MPID_絡繰人形・甲: Puppet A
MPID_絡繰人形・乙: Puppet B
MPID_絡繰人形・丙: Puppet C
MPID_闘技者: Opponent
MPID_ララ: Layla
MPID_ロンタオ: Anthony
MPID_村人おじいさん白: Old Man
MPID_村人おばさん白: Old Woman
MPID_村人お姉さん白: Girl
MPID_村人お兄さん白: Boy
MPID_村人子供白: Child
MPID_村人おじいさん黒: Old Man
MPID_村人おばさん黒: Old Woman
MPID_村人お姉さん黒: Girl
MPID_村人お兄さん黒: Boy
MPID_村人子供黒: Child
MPID_ノスフェラトゥ: Faceless
MPID_ゴーレム: Stoneborn
MPID_妖狐: Kitsune
MPID_ガルー: Wolfskin
MPID_忍: Ninja
MPID_虹の賢者: Rainbow Sage
MPID_カシータ: Cassita
MPID_フードマン: ???
MPID_マルス: Marth
MPID_アイク: Ike
MPID_ルキナ: Lucina
MPID_ルフレ: Robin
MPID_？？？: ???
MPID_H_不明: A mysterious person who arrived through\nthe Dragon's Gate.
MPID_H_プレイヤー: A Nohrian royal raised in isolation whose\norigin is shrouded in mystery.
MPID_H_ギュンター: A veteran Nohrian knight and one of the\navatar's retainers. Extremely strict.
MPID_H_フェリシア: One of the avatar's retainers. A clumsy\nIce Tribe scion. Flora's twin sister.
MPID_H_ジョーカー: One of the avatar's retainers. A butler\nof surpassing skill and loyalty.
MPID_H_リンカ: Rough-hewn princess of the Flame Tribe.\nStrong, brave, and a little hotheaded.
MPID_H_スズカゼ: A serious and disciplined ninja from\nHoshido. Has a twin brother, Saizo.
MPID_H_サクラ: A shy Hoshidan princess with a gentle\nspirit.
MPID_H_アクア: An enchanting singer raised among\nHoshidan royalty.
MPID_H_カザハナ: A retainer of Sakura's and a noble in her\nown right. Few can best her at the katana.
MPID_H_ツバキ: A Hoshidan noble and a retainer to Sakura.\nHandsome, intelligent—aims for perfection.
MPID_H_サイラス: A newly appointed Nohrian knight.\nAlso a childhood friend of the avatar.
MPID_H_サイゾウ: A blunt Hoshidan ninja and one of Ryoma's\nretainers. Has a twin brother, Kaze.
MPID_H_オロチ: A Hoshidan noble and one of Mikoto's\nretainers. A mischievous merrymaker.
MPID_H_ヒノカ: A warrior princess of Hoshido who is\nstraightforward and lacks refinement.
MPID_H_アサマ: Hinoka's retainer who was raised at a\nshrine. Sociable, but with an acerbic wit.
MPID_H_セツナ: One of Hinoka's retainers. A noble who\nseems calm and capable but is very clumsy.
MPID_H_ツクヨミ: A naive but incredibly self-confident\ndiviner of the Wind Tribe.
MPID_H_オボロ: A daughter of tailors and one of Takumi's\nretainers. Loves fashion. Hates Nohr.
MPID_H_ヒナタ: A coarse warrior and one of Takumi's\nretainers. Cares for his friends deeply.
MPID_H_タクミ: A contrary Hoshidan prince who wields the\ndivine bow, Fujin Yumi. Seeks attention.
MPID_H_カゲロウ: Ryoma's retainer from a long line of royal\nservants. Prepared to die for her liege.
MPID_H_ユウギリ: One of Mikoto's retainers. A gentle soul,\nshe nonetheless fights savagely.
MPID_H_ニシキ: A fox spirit from Hoshido with a strong\ncode. Loves himself and all things beautiful.
MPID_H_リョウマ: The eldest prince of Hoshido. Wields the\nlegendary blade Raijinto.
MPID_H_クリムゾン: A daring dragon rider fighting with\nthe resistance in Cheve.
MPID_H_アシュラ: A thief from Kohga now in Nohr. While not\nhonorable, he is surprisingly thoughtful.
MPID_H_エリーゼ: An outgoing and childlike Nohrian princess\nwho loves her siblings wholeheartedly.
MPID_H_ハロルド: One of Elise's retainers. A sworn ally of\njustice with uncannily bad luck.
MPID_H_エルフィ: A gentle woman of great strength raised in\nNohr's capital. One of Elise's retainers.
MPID_H_オーディン: An enigmatic retainer of Leo's who tends\ntoward the theatrical.
MPID_H_ゼロ: A lowborn retainer of Leo's with a curiously\nsadistic streak. A bit of a flirt as well.
MPID_H_ニュクス: A curse-casting Nohrian who is far older\nthan her appearance would suggest.
MPID_H_カミラ: A serene Nohrian princess who adores\nthe avatar and is merciless to the enemy.
MPID_H_ルーナ: This enigmatic retainer of Camilla's has a\nbad attitude but a great work ethic.
MPID_H_ベルカ: A slum-born assassin who acts as one of\nCamilla's retainers. Seemingly emotionless.
MPID_H_ラズワルド: Xander's shy and enigmatic retainer with\na flair for philandering and dancing.
MPID_H_ピエリ: A Nohrian noble and one of Xander's\nretainers. A childlike, amoral killer.
MPID_H_ブノワ: A Nohrian border guard from a farming\nvillage. A gentle giant loved by animals.
MPID_H_シャーロッテ: A Nohrian border guard who dreams of\nrising above the class of her middling birth.
MPID_H_レオン: A talented Nohrian prince who wields the\ndivine tome, Brynhildr.
MPID_H_フランネル: A bubbleheaded wolfskin leader from Nohr.\nCapable of both kindness and savagery.
MPID_H_マークス: A Nohrian prince respected for his martial\nskill. Wields the divine sword, Siegfried.
MPID_H_イザナ: Archduke of Izumo. Much more casual\nthan his radiant appearance would suggest.
MPID_H_ドラジェ: A legendary Nohrian treasure hunter who\nhas dedicated her life to exploration.
MPID_H_ユキムラ: Hoshidan strategist and one of Mikoto's\nretainers. Mild mannered and studious.
MPID_H_フローラ: One of the avatar's retainers. From the\nIce Tribe. Has a twin sister, Felicia.
MPID_H_ナハト: An apathetic Nohrian soldier with a fierce\nwill to survive at any cost.
MPID_H_モズメ: A nervous Hoshidan villager who always\ntries her very best.
MPID_H_カンナ: The avatar's child. Cheerful and honest,\nbut has lived a lonely life so far.
MPID_H_シグレ: Azura's son. A sensitive, gentle artist\nwith a voice to rival his mother's.
MPID_H_ディーア: Jakob's son. Supremely apathetic, but has\nmuch potential and cares for his friends.
MPID_H_ゾフィー: Silas's daughter. Determined to be a good\nknight. Her horse, Avel, refuses to help.
MPID_H_ミドリコ: Kaze's daughter. A model student, she\nloves to research and brew medicines.
MPID_H_シノノメ: Ryoma's son. Passionate and outgoing,\nhe's easy to get along with.
MPID_H_キサラギ: Takumi's son. Easygoing and friendly,\nhe always looks for the silver lining.
MPID_H_グレイ: Saizo's son. Sharp and cool, but a virtual\nslave to his powerful sweet tooth.
MPID_H_キヌ: Kaden's daughter. Carefree and full of joy,\nshe's very energetic and loves to play.
MPID_H_ヒサメ: Hinata's son. Serious and stubborn, he's\nvery deliberate in all things. Loves pickles.
MPID_H_ミタマ: Azama's daughter. Loves sleep and poetry\nin equal measure.
MPID_H_マトイ: Subaki's daughter. A beauty and natural\ntalent who always pushes herself further.
MPID_H_シャラ: Hayato's daughter. Tends toward the\nobsessive and has a horrifying temper.
MPID_H_ジークベルト: Xander's son. As a king-to-be, he received\nthe finest education. Serious and kind.
MPID_H_フォレオ: Leo's son. Gentle and compassionate.\nHas an eye for beauty and loves to sew.
MPID_H_イグニス: Benny's son. Looks intimidating, but is\ntimid like his father and loves cute things.
MPID_H_ベロア: Keaton's daughter. Subdued and acerbic,\nbut adores her father.
MPID_H_ルッツ: Arthur's son. Owns a dragon named Ace.\nHonest, outgoing, and incredibly lucky.
MPID_H_オフェリア: Odin's daughter. A daydreamer who applies\na flair for the dramatic to her magic.
MPID_H_ソレイユ: Laslow's daughter. Cheerful and not even\nslightly shy, which makes others jealous.
MPID_H_エポニーヌ: Niles's daughter. Calm and intelligent,\nbut prone to intense bouts of daydreaming.
MPID_H_アンナ: A merchant who pops up unexpectedly.\nOne of many identical sister Annas.
MPID_H_フウガ: A grizzled chieftain of the Wind Tribe who\nwas once King Sumeragi's close friend.
MPID_H_ガンズ: A Nohrian soldier who is hungry for\nadvancement and short on ethics.
MPID_H_マクベス: General of the Nohrian army and a skilled\nillusionist. Enjoys making devious plans.
MPID_H_ガロン: The stoic King of Nohr who rules absolutely\nand appears highly suspicious of others.
MPID_H_コタロウ: Daimyo of Mokushu. Has ambitious plans\nto expand his holdings.
MPID_H_ゾーラ: $aA Nohrian mage who tried to deceive\n$Nu by impersonating Izana.
MPID_H_スメラギ: $aThe late King of Hoshido who lost his life\ntrying to save $Nu's.
MPID_H_シェンメイ: Azura's mother. Once married to King\nGaron. Also has strong ties to Valla.
MPID_H_ミコト: The late queen of Hoshido. Died in a\nsurprise attack by Nohr.
MPID_H_ハイドラ: One of the First Dragons, who has long\nsince lost his once-formidable mind.
MPID_H_モズ: A Hoshidan ninja guarding the border in\nplace of Saizo or Kaze.
MPID_H_ダニエラ: Nohrian general who leads a large force\ntasked with protecting the border.
MPID_H_ハイタカ: Hoshidan general in charge of the\noccupied Fort Dragonfall.
MPID_H_クマゲラ: Hoshidan general trying to assassinate\nKing Garon.
MPID_H_ウィリアム: A rather dim warrior from parts unknown.\nAlways with his brother, Llewelyn.
MPID_H_ホルモン: A rather dim warrior from parts unknown.\nAlways with his brother, Lloyd.
MPID_H_ガザック: A scoundrel who lurks in a small town near\nthe entrance to the Deeprealms.
MPID_H_バンバ: A highwayman who robs people passing\nnear the entrance to the Deeprealms.
MPID_H_ファンク: A burglar who breaks into the homes of\nthe wealthy.
MPID_H_ダイチ: A scoundrel who hunts kitsune for\ntheir fur.
MPID_H_セノウ: A fiend who seeks rare tomes for his foul\nschemes.
MPID_H_ヴァスハラ: A renowned swordsman who fell from\ngrace and is now a thief.
MPID_H_クーリア: Chief of the Ice Tribe and father to\nFlora and Felicia.
MPID_H_ロンタオ: An underling of the Vallite king,\ntransformed into a monster.
MPID_H_その他: A soldier from elsewhere.
MPID_H_白夜兵: A common Hoshidan soldier.
MPID_H_暗夜兵: A common Nohrian soldier.
MPID_H_透魔兵: A common Vallite soldier.
MPID_H_フウマ兵: A soldier from Mokushu, the land of ninja.
MPID_H_イズモ兵: A soldier from Izumo, the land of faith.
MPID_H_シュヴァリエ兵: A soldier from Cheve, the land of knights.
MPID_H_幻影兵: The shade of a former soldier.
MPID_H_部族兵: A warrior of one of the great tribes.
MPID_H_異邦の兵: A soldier from a distant world.
MPID_H_謎の兵: A soldier of unknown origin.
MPID_H_賊: A pirate who fights for plunder.
MPID_H_村人: An ordinary citizen—a stranger to war.
MPID_H_魔物: A monster that attacks indiscriminately.
MPID_H_傭兵団: A soldier from a band of mercenaries.
MPID_H_絆ユニット: A soldier born of the bond between two\npeople.
MPID_H_一般ユニット: A soldier who fights for his or her own\nreasons.
MPID_H_リリス: A devotee of the Astral Dragons.\nWatches over the castle.
MPID_H_防衛兵: An artificial soldier for castle defense.
MPID_H_マルス: A visitor from a very combative world.\nApparently, he's some kind of royalty.
MPID_H_アイク: A visitor from a very combative world.\nApparently he's a mercenary leader.
MPID_H_ルキナ: A visitor from a very combative world.\nApparently, she's some kind of royalty.
MPID_H_ルフレ: A visitor from a very combative world.\nApparently, he's a master of tactics.
MCID_Z000_PREFIX: Confirmation
MCID_Z000: To the Deciding Moment
MCID_A000_PREFIX: Prologue
MCID_A000: Ties That Bind
MCID_A001_PREFIX: Chapter 1
MCID_A001: Nohr
MCID_A002_PREFIX: Chapter 2
MCID_A002: Gift of Ganglari
MCID_A003_PREFIX: Chapter 3
MCID_A003: Journey Begins
MCID_A004_PREFIX: Chapter 4
MCID_A004: Hoshido
MCID_A005_PREFIX: Chapter 5
MCID_A005: Mother
MCID_P006_PREFIX: Chapter 6
MCID_P006: The Path Is Yours
MCID_A006_PREFIX: Chapter 6
MCID_A006: In the White Light
MCID_A007_PREFIX: Chapter 7
MCID_A007: A Vow Upheld
MCID_A008_PREFIX: Chapter 8
MCID_A008: Fierce Winds
MCID_A009_PREFIX: Chapter 9
MCID_A009: Land of Gods
MCID_A010_PREFIX: Chapter 10
MCID_A010: Ninja Village
MCID_A011_PREFIX: Chapter 11
MCID_A011: To the Sea
MCID_A012_PREFIX: Chapter 12
MCID_A012: Dark Reunion
MCID_A013_PREFIX: Chapter 13
MCID_A013: Another Hope
MCID_A014_PREFIX: Chapter 14
MCID_A014: Light Scatters
MCID_A015_PREFIX: Chapter 15
MCID_A015: Wolfskin Peak
MCID_A016_PREFIX: Chapter 16
MCID_A016: Pleasure Palace
MCID_A017_PREFIX: Chapter 17
MCID_A017: Lost in the Ice
MCID_A018_PREFIX: Chapter 18
MCID_A018: Leo
MCID_A019_PREFIX: Chapter 19
MCID_A019: Rainbow Sage
MCID_A020_PREFIX: Chapter 20
MCID_A020: Fort Dragonfall
MCID_A021_PREFIX: Chapter 21
MCID_A021: Burning Falls
MCID_A022_PREFIX: Chapter 22
MCID_A022: Hidden Capital
MCID_A023_PREFIX: Chapter 23
MCID_A023: Camilla
MCID_A024_PREFIX: Chapter 24
MCID_A024: Tears of a Dragon
MCID_A025_PREFIX: Chapter 25
MCID_A025: Traitor Revealed
MCID_A026_PREFIX: Chapter 26
MCID_A026: Xander
MCID_A027_PREFIX: Chapter 27
MCID_A027: King Garon
MCID_A028_PREFIX: Endgame
MCID_A028: Dawn Breaks
MCID_B006_PREFIX: Chapter 6
MCID_B006: Embrace the Dark
MCID_B007_PREFIX: Chapter 7
MCID_B007: A Dragon's Decree
MCID_B008_PREFIX: Chapter 8
MCID_B008: Cold Reception
MCID_B009_PREFIX: Chapter 9
MCID_B009: Another Trial
MCID_B010_PREFIX: Chapter 10
MCID_B010: Unhappy Reunion
MCID_B011_PREFIX: Chapter 11
MCID_B011: Rainbow Sage
MCID_B012_PREFIX: Chapter 12
MCID_B012: Bitter Intrigue
MCID_B013_PREFIX: Chapter 13
MCID_B013: Uprising
MCID_B014_PREFIX: Chapter 14
MCID_B014: Voice of Paradise
MCID_B015_PREFIX: Chapter 15
MCID_B015: The Black Pillar
MCID_B016_PREFIX: Chapter 16
MCID_B016: Invasion
MCID_B017_PREFIX: Chapter 17
MCID_B017: Den of Betrayal
MCID_B018_PREFIX: Chapter 18
MCID_B018: Black & White
MCID_B019_PREFIX: Chapter 19
MCID_B019: Kitsune Lair
MCID_B020_PREFIX: Chapter 20
MCID_B020: Winds of Change
MCID_B021_PREFIX: Chapter 21
MCID_B021: Eternal Stairway
MCID_B022_PREFIX: Chapter 22
MCID_B022: Sakura
MCID_B023_PREFIX: Chapter 23
MCID_B023: Possessed
MCID_B024_PREFIX: Chapter 24
MCID_B024: Hinoka
MCID_B025_PREFIX: Chapter 25
MCID_B025: Ryoma
MCID_B026_PREFIX: Chapter 26
MCID_B026: Treason
MCID_B027_PREFIX: Chapter 27
MCID_B027: The Empty King
MCID_B028_PREFIX: Endgame
MCID_B028: Night Breaks Through
MCID_C006_PREFIX: Chapter 6
MCID_C006: Into the Ground
MCID_C007_PREFIX: Chapter 7
MCID_C007: Unspeakable World
MCID_C008_PREFIX: Chapter 8
MCID_C008: Traitor's Brand
MCID_C009_PREFIX: Chapter 9
MCID_C009: Wanderer
MCID_C010_PREFIX: Chapter 10
MCID_C010: Voice of a God
MCID_C011_PREFIX: Chapter 11
MCID_C011: Mutual Enemies
MCID_C012_PREFIX: Chapter 12
MCID_C012: Frozen Sea
MCID_C013_PREFIX: Chapter 13
MCID_C013: A Lost Peace
MCID_C014_PREFIX: Chapter 14
MCID_C014: Orders
MCID_C015_PREFIX: Chapter 15
MCID_C015: Rainbow Sage
MCID_C016_PREFIX: Chapter 16
MCID_C016: White Flames
MCID_C017_PREFIX: Chapter 17
MCID_C017: Black Flames
MCID_C018_PREFIX: Chapter 18
MCID_C018: Veiled Kingdom
MCID_C019_PREFIX: Chapter 19
MCID_C019: Hidden Strings
MCID_C020_PREFIX: Chapter 20
MCID_C020: Seeds of Doubt
MCID_C021_PREFIX: Chapter 21
MCID_C021: Going Forward
MCID_C022_PREFIX: Chapter 22
MCID_C022: Memories
MCID_C023_PREFIX: Chapter 23
MCID_C023: Arete Undone
MCID_C024_PREFIX: Chapter 24
MCID_C024: Days Lost
MCID_C025_PREFIX: Chapter 25
MCID_C025: Blades Drawn
MCID_C026_PREFIX: Chapter 26
MCID_C026: The Vallite King
MCID_C027_PREFIX: Chapter 27
MCID_C027: Hear My Cry
MCID_C028_PREFIX: Endgame
MCID_C028: Anankos
MCID_X001_PREFIX: Paralogue 1
MCID_X001: Tragic Start
MCID_X002_PREFIX: Paralogue 2
MCID_X002: Dragon Blood
MCID_X003_PREFIX: Paralogue 3
MCID_X003: Surprise Duet
MCID_X004_PREFIX: Paralogue 4
MCID_X004: Fight or Flight
MCID_X005_PREFIX: Paralogue 5
MCID_X005: Bold Approach
MCID_X006_PREFIX: Paralogue 6
MCID_X006: Herbal Remedy
MCID_X007_PREFIX: Paralogue 7
MCID_X007: Father & Liege
MCID_X008_PREFIX: Paralogue 8
MCID_X008: A Great Hunt
MCID_X009_PREFIX: Paralogue 9
MCID_X009: Saizo vs. Saizo
MCID_X010_PREFIX: Paralogue 10
MCID_X010: Hunter & Prey
MCID_X011_PREFIX: Paralogue 11
MCID_X011: A Long Grudge
MCID_X012_PREFIX: Paralogue 12
MCID_X012: Sweet Dreams
MCID_X013_PREFIX: Paralogue 13
MCID_X013: Truly Talented
MCID_X014_PREFIX: Paralogue 14
MCID_X014: After the End
MCID_X015_PREFIX: Paralogue 15
MCID_X015: Hidden Bravery
MCID_X016_PREFIX: Paralogue 16
MCID_X016: Abducted
MCID_X017_PREFIX: Paralogue 17
MCID_X017: Two Defenders
MCID_X018_PREFIX: Paralogue 18
MCID_X018: Nutty Family
MCID_X019_PREFIX: Paralogue 19
MCID_X019: Great Heroism
MCID_X020_PREFIX: Paralogue 20
MCID_X020: Ultimate Power
MCID_X021_PREFIX: Paralogue 21
MCID_X021: Bright Smile
MCID_X022_PREFIX: Paralogue 22
MCID_X022: Abrupt Clash
MCID_AY01_PREFIX: Invasion 1
MCID_AY01: Castle
MCID_AY02_PREFIX: Invasion 2
MCID_AY02: Castle
MCID_AY03_PREFIX: Invasion 3
MCID_AY03: Castle
MCID_BY01_PREFIX: Invasion 1
MCID_BY01: Castle
MCID_BY02_PREFIX: Invasion 2
MCID_BY02: Castle
MCID_BY03_PREFIX: Invasion 3
MCID_BY03: Castle
MCID_CY01_PREFIX: Invasion 1
MCID_CY01: Castle
MCID_CY02_PREFIX: Invasion 2
MCID_CY02: Castle
MCID_CY03_PREFIX: Invasion 3
MCID_CY03: Castle
MCID_M001_PREFIX: Hero Battle
MCID_M001: Hero-King Marth
MCID_M002_PREFIX: Hero Battle
MCID_M002: Radiant Hero Ike
MCID_M003_PREFIX: Hero Battle
MCID_M003: Princess Lucina
MCID_M004_PREFIX: Hero Battle
MCID_M004: Grandmaster Robin
MCID_ENCOUNT_PREFIX: Challenge
MCID_CASTLE: Castle
MCID_CASTLE_PREFIX: Battle
MCID_VERSUS_PREFIX: Battle
MCID_CHAPTER_AND_TITLE: $a$a0: $a1
MCID_T_Z000: Moment of Confirmation
MCID_T_A000: Plains of Hoshido
MCID_T_A001: Northern Fortress
MCID_T_A002: Castle: Reception Room
MCID_T_A003: Bottomless Canyon N.
MCID_T_A004: Valley Settlement
MCID_T_A005: Hoshido Capital: Plaza
MCID_T_A006: Plains of Hoshido
MCID_T_A007: Fort Jinya
MCID_T_A008: Wind Tribe Village
MCID_T_A009: Izumo: Castle Interior
MCID_T_A010: Mokushu Forest
MCID_T_A011: Sea of Hoshido
MCID_T_A012: Opera House
MCID_T_A013: Cheve
MCID_T_A014: Border Walls
MCID_T_A015: Mount Garou
MCID_T_A016: Near Palace Macarath
MCID_T_A017: Ice Tribe Village
MCID_T_A018: Woods of the Forlorn
MCID_T_A019: Sevenfold Sanctuary
MCID_T_A020: Fort Dragonfall
MCID_T_A021: Demon's Falls
MCID_T_A022: Windmire
MCID_T_A023: Underground Passage
MCID_T_A024: Castle: Training Grounds
MCID_T_A025: Castle: Grand Staircase
MCID_T_A026: Castle: Combat Room
MCID_T_A027: Castle: Throne Room
MCID_T_A028: Castle: Throne Room
MCID_T_B006: Plains of Hoshido
MCID_T_B007: Woods of the Forlorn
MCID_T_B008: Ice Tribe Village
MCID_T_B009: Fort Dragonfall
MCID_T_B010: Port Town of Dia
MCID_T_B011: Sevenfold Sanctuary
MCID_T_B012: Palace Macarath
MCID_T_B013: Cheve
MCID_T_B014: Opera House
MCID_T_B015: Abandoned Town
MCID_T_B016: Nohrian Sea
MCID_T_B017: Cave in Mokushu
MCID_T_B018: Izumo: Castle Interior
MCID_T_B019: Kitsune Hamlet
MCID_T_B020: Wind Tribe Village
MCID_T_B021: Eternal Stairway
MCID_T_B022: Fort Jinya
MCID_T_B023: Great Wall of Suzanoh
MCID_T_B024: Hoshidan Capital
MCID_T_B025: Shirasagi: Reception Hall
MCID_T_B026: Shirasagi: Foyer
MCID_T_B027: Shirasagi: Throne Room
MCID_T_B028: Shirasagi: Throne Room
